Problem,Model,[TEXT] Dangling Parens,[TEXT] Line too long,[TEXT] Using car cdr,[TEXT] Cond without square brackets,[TEXT] Uninformative local names,[DEFNS] let-expr not at topmost start,[DEFNS] Nesting let-exprs or defines,[DEFNS] Unnecessary let* or letrec exprs,[DEFNS] Unused or useless local vars,[DEFNS] Not defining helpers or local vars,[COND] Nested if-expr instead of cond,[COND] (if COND #t #f),[TRAV] iteration instead of recursion,anon_id
HumaneEval_30_get_positive,base,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_26.rkt
HumaneEval_30_get_positive,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_42.rkt
HumaneEval_31_is_prime,base,0.0,0.0,0.0,0.0,-0.25,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_67.rkt
HumaneEval_31_is_prime,tuned,-0.5,0.0,0.0,-0.5,-0.25,-1.0,-1.0,0.0,-0.5,0.0,-1.0,0.0,0.0,prog_60.rkt
HumaneEval_35_max_element,base,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,prog_11.rkt
HumaneEval_35_max_element,tuned,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-2.0,0.0,0.0,prog_33.rkt
HumaneEval_42_incr_list,base,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_17.rkt
HumaneEval_42_incr_list,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_47.rkt
HumaneEval_45_triangle_area,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_50.rkt
HumaneEval_45_triangle_area,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_61.rkt
HumaneEval_46_fib4,base,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_58.rkt
HumaneEval_46_fib4,tuned,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_34.rkt
HumaneEval_48_is_palindrome,base,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.25,0.0,prog_27.rkt
HumaneEval_48_is_palindrome,tuned,-0.5,0.0,0.0,0.0,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,prog_38.rkt
HumaneEval_4_mean_absolute_deviation,base,0.0,0.0,0.0,0.0,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_15.rkt
HumaneEval_4_mean_absolute_deviation,tuned,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_5.rkt
HumaneEval_51_remove_vowels,base,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_46.rkt
HumaneEval_51_remove_vowels,tuned,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,prog_20.rkt
HumaneEval_52_below_threshold,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_69.rkt
HumaneEval_52_below_threshold,tuned,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,prog_30.rkt
HumaneEval_53_add,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_8.rkt
HumaneEval_53_add,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_6.rkt
HumaneEval_55_fib,base,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_65.rkt
HumaneEval_55_fib,tuned,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_48.rkt
HumaneEval_59_largest_prime_factor,base,0.0,0.0,0.0,-0.5,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_68.rkt
HumaneEval_59_largest_prime_factor,tuned,0.0,0.0,0.0,-0.5,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_1.rkt
HumaneEval_5_intersperse,base,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_66.rkt
HumaneEval_5_intersperse,tuned,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_2.rkt
HumaneEval_60_sum_to_n,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_62.rkt
HumaneEval_60_sum_to_n,tuned,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_59.rkt
HumaneEval_63_fibfib,base,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_10.rkt
HumaneEval_63_fibfib,tuned,0.0,-0.25,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_43.rkt
HumaneEval_66_digitSum,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,prog_22.rkt
HumaneEval_66_digitSum,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_24.rkt
HumaneEval_72_will_it_fly,base,-0.25,0.0,-0.25,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,prog_37.rkt
HumaneEval_72_will_it_fly,tuned,-0.5,0.0,-0.25,-0.5,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,prog_36.rkt
HumaneEval_79_decimal_to_binary,base,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_12.rkt
HumaneEval_79_decimal_to_binary,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,prog_4.rkt
HumaneEval_7_filter_by_substring,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_41.rkt
HumaneEval_7_filter_by_substring,tuned,-0.25,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_28.rkt
HumaneEval_82_prime_length,base,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,0.0,prog_45.rkt
HumaneEval_82_prime_length,tuned,-0.5,0.0,0.0,-0.5,-0.25,-0.5,-1.5,0.0,0.0,0.0,-2.0,-0.5,0.0,prog_57.rkt
HumaneEval_8_sum_product,base,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5,0.0,0.0,-3.0,prog_40.rkt
HumaneEval_8_sum_product,tuned,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.5,-0.5,-2.0,0.0,-3.0,prog_25.rkt
HumaneEval_9_rolling_max,base,0.0,0.0,-0.5,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_51.rkt
HumaneEval_9_rolling_max,tuned,0.0,-0.5,-0.5,0.0,-0.5,-1.0,-2.0,-1.0,-0.5,0.0,-1.0,0.0,0.0,prog_56.rkt
